id;ELEVATION;NAME;FNAME;STATION_TYP;T;SRA;SCE;SCEa;SSV;P;F;RGLB;X;Y;nut3;nam
U2STRR01;310;Str·û pod Ralskem;Str·û pod Ralskem;AKS1;T;SRA;SCE;;SSV;;F;;14.80739;50.70361;Liberecky;Liberecky/U2STRR01
U2USHA01;280;⁄ötÏk;⁄ötÏk, Hab¯ina;MSS;;SRA;SCE;;;;;;14.30925;50.59617;Ustecky;Ustecky/U2USHA01
U2VARN01;367;Varnsdorf;Varnsdorf;AKS1;T;SRA;SCE;;SSV;;F;;14.60222;50.90556;Ustecky;Ustecky/U2VARN01
U2VERN01;507;Verne¯ice;Verne¯ice;ASS;;SRA;SCE;;;;;;14.30492;50.65789;Ustecky;Ustecky/U2VERN01
U2VYSO01;300;Vysok·;Vysok·;MSS;;SRA;SCE;;;;;;14.537361;50.411611;Stredocesky;Stredocesky/U2VYSO01
U2ZAHR01;270;Zahr·dky;Zahr·dky;ASS;;SRA;SCE;;;;;;14.51467;50.61428;Liberecky;Liberecky/U2ZAHR01
U2ZAND01;275;éandov;éandov, HornÌ Police;ASS;;SRA;SCE;;;;;;14.403417;50.708083;Liberecky;Liberecky/U2ZAND01
U4BPCN01;820;Bed¯ichov;Bed¯ichov, Prameny »ernÈ Nisy;ASS;;;SCE;;;;;;15.152029;50.840168;Liberecky;Liberecky/U4BPCN01
U4BPPC01;984;BÌl˝ Potok;BÌl˝ Potok, Pavlova cesta;ASS;;SRA;;;;;;;15.234862;50.853964;Liberecky;Liberecky/U4BPPC01
U4BPSM01;826;BÌl˝ Potok;BÌl˝ Potok, SmÏdava;ASS;T;;SCE;;;;;;15.273405;50.845078;Liberecky;Liberecky/U4BPSM01
U4BPUJ01;916;BÌl˝ Potok;BÌl˝ Potok, U Je¯·bu;ASS;;SRA;SCE;;;;;;15.292606;50.857536;Liberecky;Liberecky/U4BPUJ01
U4BTOM01;810;Bed¯ichov;Bed¯ichov, Tomöovka;ASS;;SRA;;;;;;;15.149511;50.834362;Liberecky;Liberecky/U4BTOM01
U4BUHL01;780;Bed¯ichov;Bed¯ichov, UhlÌ¯sk·;ASS;;SRA;SCE;;;;;;15.147065;50.824187;Liberecky;Liberecky/U4BUHL01
U4HKNA01;990;Hejnice;Hejnice, Knajpa;ASS;;SRA;SCE;;;;;;15.243308;50.830763;Liberecky;Liberecky/U4HKNA01
U4SMHO01;1006;Hejnice;Hejnice, SmÏdavsk· hora;ASS;;SRA;;;;;;;15.252335;50.844961;Liberecky;Liberecky/U4SMHO01
U4ZAKO01;828;Z·koutÌ;Z·koutÌ;ASNS;T;;;SCEa;;;;;13.354974;50.549858;Ustecky;Ustecky/U4ZAKO01
O1CANTTT;974;Velk· »antoryje;Velk· »antoryje;TOTAL;;;;;;;;;18.7958;49.6792;Moravskoslezsky;Moravskoslezsky/O1CANTTT
