"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"T";"SRA";"SCE";"SCEa";"SSV";"P";"F";"RGLB";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";"params"
"B2BRAS01";16.4353;48.9661;200;"Braniöovice";"Braniöovice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BRES01";16.5003;49.6597;387;"B¯ezov· nad Svitavou";"B¯ezov· nad Svitavou";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BROD01";16.5358;48.8733;177;"Brod nad DyjÌ";"Brod nad DyjÌ";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2BRTN01";15.6753;49.3069;517;"Brtnice";"Brtnice";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BTUR01";16.688889;49.153056;241;"Brno";"Brno, Tu¯any";"AMS";TRUE;"SRA";"SCE";NA;"SSV";"P";FALSE;"RGLB_D";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B2BUCO01";17.014033;49.129881;238;"BuËovice";"BuËovice, KlobouËky";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BUDI01";16.0039;49.2717;485;"Budiöov";"Budiöov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BUKA01";16.798889;49.296944;511;"Bukovinka";"Bukovinka";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BYSP01";16.25401;49.52416;553;"Byst¯ice nad Pernötejnem";"Byst¯ice nad Pernötejnem";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2BZAB01";16.5677;49.2165;236;"Brno";"Brno, éabov¯esky";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2BZID01";16.631111;49.1983;200;"Brno";"Brno, éidenice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2CRUD01";15.322222;49.073333;520;"»esk˝ Rudolec";"»esk˝ Rudolec";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DACI01";15.4344;49.0831;486;"DaËice";"DaËice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DRNH01";16.48;48.8589;210;"Drnholec";"Drnholec";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DUBN01";17.1028;48.9208;200;"DubÚany";"DubÚany";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DUKO01";16.134444;49.095556;400.15;"Dukovany";"Dukovany";"AMS1";TRUE;"SRA";"SCE";NA;"SSV";"P";FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B2DVES01";16.6414;48.8872;172;"DolnÌ VÏstonice";"DolnÌ VÏstonice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DYJA01";16.2992;48.7733;201;"Dyj·kovice";"Dyj·kovice";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2DZBA01";16.2092;49.0028;337;"Dûb·nice";"Dûb·nice";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HAJE01";16.4725;49.3731;409;"Tiönov";"Tiönov, H·jek";"AKS2";TRUE;"SRA";"SCE";NA;NA;NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2HRAS01";16.4875;49.7311;446;"Hradec nad Svitavou";"Hradec nad Svitavou";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HROT01";16.0588;49.1105;425;"Hrotovice";"Hrotovice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HRUS01";16.9739;48.7919;174;"Hruöky";"Hruöky";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HUBE01";15.4669;49.3931;570;"Hubenov";"Hubenov";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2HUST01";16.7258;48.9456;201;"HustopeËe";"HustopeËe";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HYSL01";17.18;49.021389;217;"H˝sly";"H˝sly";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2JARS01";16.2325;48.7553;190;"Jaroslavice";"Jaroslavice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2JEMN01";15.59;49.025;502;"Jemnice";"Jemnice";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2JIHL01";15.6164;49.4064;468;"Jihlava";"Jihlava, HruökovÈ Dvory";"AKS3";TRUE;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2KADO01";16.0781;49.6358;672;"Kadov";"Kadov";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2KLOB01";16.8767;48.9961;205;"Klobouky u Brna";"Klobouky u Brna";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2KMYS01";15.439167;49.159167;569;"KostelnÌ Myslov·";"KostelnÌ Myslov·";"AMS1";TRUE;"SRA";"SCE";NA;"SSV";"P";FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B2KNIN01";16.692288;49.537004;369;"KnÌnice u Boskovic";"KnÌnice u Boskovic";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2KOBY01";16.8814;48.9394;175;"KobylÌ";"KobylÌ";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2KORC01";17.17;49.1028;305;"KoryËany";"KoryËany";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2KRIZ01";16.0667;49.6833;615;"K¯iû·nky";"K¯iû·nky, MoravskÈ K¯iû·nky";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2KUCH01";16.085278;48.881111;334;"Kucha¯ovice";"Kucha¯ovice";"AMS1";TRUE;"SRA";"SCE";NA;"SSV";"P";FALSE;"RGLB_D";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B2KURI01";16.5322;49.3006;291;"Ku¯im";"Ku¯im";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2LANZ01";16.9575;48.724722;158;"Lanûhot";"Lanûhot";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2LAZT01";15.786675;49.013078;432;"L·z";"L·z";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2LEDN01";16.798895;48.792616;177;"Lednice";"Lednice";"AKS2";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2LETO01";16.5767;49.5544;334;"Letovice";"Letovice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2LISE01";16.183611;49.583611;688;"LÌsek";"LÌsek";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2LUKO01";15.9077;48.8566;403;"Lukov";"Lukov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2MBRA01";16.4494;49.0825;210;"MoravskÈ Br·nice";"MoravskÈ Br·nice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2MBUD01";15.8067;49.0611;460;"MoravskÈ BudÏjovice";"MoravskÈ BudÏjovice";"AKS2";TRUE;"SRA";"SCE";NA;NA;NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2MIKU01";16.6401;48.801911;224;"Mikulov";"Mikulov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2MILE01";16.853889;49.083889;242;"Mileöovice";"Mileöovice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2MIRO01";16.3197;48.9442;238;"Miroslav";"Miroslav";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2MKRU01";16.306463;49.039908;255;"Moravsk˝ Krumlov";"Moravsk˝ Krumlov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2NAMO01";16.15;49.2167;390;"N·mÏöù nad Oslavou";"N·mÏöù nad Oslavou";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2NEDV01";16.3097;49.6344;722;"NedvÏzÌ";"NedvÏzÌ";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B2NEMO01";17.1361;49.1808;283;"Nemochovice";"Nemochovice";"AKS2";TRUE;"SRA";"SCE";NA;NA;NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2NMES01";16.0689;49.5581;601;"NovÈ MÏsto na MoravÏ";"NovÈ MÏsto na MoravÏ";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2NOVE01";15.7869;49.2547;422;"Nov· Ves";"Nov· Ves";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2OBOR01";16.603611;49.451667;425;"Obora";"Obora";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2OLES01";16.4231;49.555;535;"Oleönice";"Oleönice";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";NA;"prec";"snow";NA;"wind";NA;6
"B2PAVL01";15.8772;49.3508;559;"PavlÌnov";"PavlÌnov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2POHO01";16.5283;48.9844;180;"Poho¯elice";"Poho¯elice";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2POLI01";16.269167;49.716111;552;"PoliËka";"PoliËka";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2RADO01";15.9675;49.460278;512;"RadostÌn";"RadostÌn";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2ROZS01";16.835258;49.398026;571;"Rozst·nÌ";"Rozst·nÌ";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2SATO01";16.020556;48.789167;238;"äatov";"äatov";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2SEDC01";16.120556;49.170833;474;"Sedlec";"Sedlec";"AMS";TRUE;"SRA";"SCE";NA;"SSV";"P";FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"B2SEJR01";16.3103;49.4367;519;"Sej¯ek";"Sej¯ek";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2SLAB01";16.879167;49.1575;211;"Slavkov u Brna";"Slavkov u Brna";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2SOSU01";16.746944;49.414444;533;"äoö˘vka";"äoö˘vka";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2STAL01";15.2843;49.0292;639;"Slavonice";"Slavonice, St·lkov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2STEM01";15.7133;49.1936;617;"ätÏmÏchy";"ätÏmÏchy";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2STEP01";16.3333;49.5;365;"ätÏp·nov nad Svratkou";"ätÏp·nov nad Svratkou";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2STHU01";17.2883;49.1372;427;"StarÈ HutÏ";"StarÈ HutÏ";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2STRA01";16.198;49.4411;445;"Str·ûek";"Str·ûek";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2STRE01";15.9828;48.9934;325;"St¯elice";"St¯elice";"ASS";NA;"SRA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2SVLK01";16.550556;49.589167;395;"Stvolov·";"Stvolov·, Sk¯ib";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2TESA01";16.7658;49.0419;209;"TÏöany";"TÏöany";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2TREB01";15.87;49.2236;463;"T¯ebÌË";"T¯ebÌË, Podkl·öte¯Ì";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2TRES01";15.476111;49.293889;574;"T¯eöù";"T¯eöù";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
