"id";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"T";"SRA";"SCE";"SCEa";"SSV";"P";"F";"RGLB";"X";"Y";"nut3";"nam";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";"params"
"B1STRZ01";176;"Str·ûnice";"Str·ûnice";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";17.3381;48.8992;"Jihomoravsky";"Jihomoravsky/B1STRZ01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1UHBR01";222;"Uhersk˝ Brod";"Uhersk˝ Brod";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.6555;49.0255;"Zlinsky";"Zlinsky/B1UHBR01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1UJED01";336;"⁄jezdsko";"⁄jezdsko";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.364444;49.211944;"Zlinsky";"Zlinsky/B1UJED01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1VEJATT";961;"Velk· Javo¯ina";"Velk· Javo¯ina";"TOTAL";NA;"";"";"";"";"";NA;"";17.6697;48.8553;"Zlinsky";"Zlinsky/B1VEJATT";NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"B1VELI01";392;"ZlÌn";"ZlÌn, VelÌkov·";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.7606;49.2875;"Zlinsky";"Zlinsky/B1VELI01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1VELV01";289;"Velk· nad VeliËkou";"Velk· nad VeliËkou";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.5167;48.8789;"Jihomoravsky";"Jihomoravsky/B1VELV01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1VIZO01";313;"Vizovice";"Vizovice";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";17.84361;49.22297;"Zlinsky";"Zlinsky/B1VIZO01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1VKLO01";402;"ValaöskÈ Klobouky";"ValaöskÈ Klobouky";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";18.015;49.139167;"Zlinsky";"Zlinsky/B1VKLO01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1ZLIN01";283;"ZlÌn";"ZlÌn";"AKS3";TRUE;"SRA";"SCE";"";"";"";NA;"";17.643333;49.236667;"Zlinsky";"Zlinsky/B1ZLIN01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2BABI01";470;"Babice nad Svitavou";"Babice nad Svitavou";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.6958;49.2889;"Jihomoravsky";"Jihomoravsky/B2BABI01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BATE01";643;"Batelov";"Batelov, Nov· Ves";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";15.355278;49.278056;"Vysocina";"Vysocina/B2BATE01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BITO01";425;"BÌtov";"BÌtov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";15.73;48.938333;"Jihomoravsky";"Jihomoravsky/B2BITO01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BJUN01";260;"Brno";"Brno, Jundrov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.5608;49.2019;"Jihomoravsky";"Jihomoravsky/B2BJUN01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BLAN01";299;"Blansko";"Blansko";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.6503;49.3597;"Jihomoravsky";"Jihomoravsky/B2BLAN01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BOHD01";583;"Bohdalov";"Bohdalov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";15.871783;49.481656;"Vysocina";"Vysocina/B2BOHD01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BOZI01";216;"Boûice";"Boûice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.2881;48.8344;"Jihomoravsky";"Jihomoravsky/B2BOZI01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2BRAS01";200;"Braniöovice";"Braniöovice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.4353;48.9661;"Jihomoravsky";"Jihomoravsky/B2BRAS01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BRES01";387;"B¯ezov· nad Svitavou";"B¯ezov· nad Svitavou";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.5003;49.6597;"Pardubicky";"Pardubicky/B2BRES01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BROD01";177;"Brod nad DyjÌ";"Brod nad DyjÌ";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";16.5358;48.8733;"Jihomoravsky";"Jihomoravsky/B2BROD01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2BRTN01";517;"Brtnice";"Brtnice";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";15.6753;49.3069;"Vysocina";"Vysocina/B2BRTN01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BTUR01";241;"Brno";"Brno, Tu¯any";"AMS";TRUE;"SRA";"SCE";"";"SSV";"P";FALSE;"RGLB_D";16.688889;49.153056;"Jihomoravsky";"Jihomoravsky/B2BTUR01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B2BUCO01";238;"BuËovice";"BuËovice, KlobouËky";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.014033;49.129881;"Jihomoravsky";"Jihomoravsky/B2BUCO01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BUDI01";485;"Budiöov";"Budiöov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.0039;49.2717;"Vysocina";"Vysocina/B2BUDI01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BUKA01";511;"Bukovinka";"Bukovinka";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";16.798889;49.296944;"Jihomoravsky";"Jihomoravsky/B2BUKA01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2BYSP01";553;"Byst¯ice nad Pernötejnem";"Byst¯ice nad Pernötejnem";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";16.25401;49.52416;"Vysocina";"Vysocina/B2BYSP01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2BZAB01";236;"Brno";"Brno, éabov¯esky";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";16.5677;49.2165;"Jihomoravsky";"Jihomoravsky/B2BZAB01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2BZID01";200;"Brno";"Brno, éidenice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.631111;49.1983;"Jihomoravsky";"Jihomoravsky/B2BZID01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2CRUD01";520;"»esk˝ Rudolec";"»esk˝ Rudolec";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";15.322222;49.073333;"Jihocesky";"Jihocesky/B2CRUD01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DACI01";486;"DaËice";"DaËice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";15.4344;49.0831;"Jihocesky";"Jihocesky/B2DACI01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DRNH01";210;"Drnholec";"Drnholec";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.48;48.8589;"Jihomoravsky";"Jihomoravsky/B2DRNH01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DUBN01";200;"DubÚany";"DubÚany";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.1028;48.9208;"Jihomoravsky";"Jihomoravsky/B2DUBN01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DUKO01";400.15;"Dukovany";"Dukovany";"AMS1";TRUE;"SRA";"SCE";"";"SSV";"P";FALSE;"";16.134444;49.095556;"Vysocina";"Vysocina/B2DUKO01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B2DVES01";172;"DolnÌ VÏstonice";"DolnÌ VÏstonice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.6414;48.8872;"Jihomoravsky";"Jihomoravsky/B2DVES01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2DYJA01";201;"Dyj·kovice";"Dyj·kovice";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";16.2992;48.7733;"Jihomoravsky";"Jihomoravsky/B2DYJA01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2DZBA01";337;"Dûb·nice";"Dûb·nice";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";16.2092;49.0028;"Jihomoravsky";"Jihomoravsky/B2DZBA01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HAJE01";409;"Tiönov";"Tiönov, H·jek";"AKS2";TRUE;"SRA";"SCE";"";"";"";FALSE;"";16.4725;49.3731;"Jihomoravsky";"Jihomoravsky/B2HAJE01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2HRAS01";446;"Hradec nad Svitavou";"Hradec nad Svitavou";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";16.4875;49.7311;"Pardubicky";"Pardubicky/B2HRAS01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HROT01";425;"Hrotovice";"Hrotovice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.0588;49.1105;"Vysocina";"Vysocina/B2HROT01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HRUS01";174;"Hruöky";"Hruöky";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.9739;48.7919;"Jihomoravsky";"Jihomoravsky/B2HRUS01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HUBE01";570;"Hubenov";"Hubenov";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";15.4669;49.3931;"Vysocina";"Vysocina/B2HUBE01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B2HUST01";201;"HustopeËe";"HustopeËe";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.7258;48.9456;"Jihomoravsky";"Jihomoravsky/B2HUST01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2HYSL01";217;"H˝sly";"H˝sly";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.18;49.021389;"Jihomoravsky";"Jihomoravsky/B2HYSL01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2JARS01";190;"Jaroslavice";"Jaroslavice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.2325;48.7553;"Jihomoravsky";"Jihomoravsky/B2JARS01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2JEMN01";502;"Jemnice";"Jemnice";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";15.59;49.025;"Vysocina";"Vysocina/B2JEMN01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2JIHL01";468;"Jihlava";"Jihlava, HruökovÈ Dvory";"AKS3";TRUE;"SRA";"SCE";"";"";"";NA;"";15.6164;49.4064;"Vysocina";"Vysocina/B2JIHL01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B2KADO01";672;"Kadov";"Kadov";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";16.0781;49.6358;"Vysocina";"Vysocina/B2KADO01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2KLOB01";205;"Klobouky u Brna";"Klobouky u Brna";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.8767;48.9961;"Jihomoravsky";"Jihomoravsky/B2KLOB01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B2KMYS01";569;"KostelnÌ Myslov·";"KostelnÌ Myslov·";"AMS1";TRUE;"SRA";"SCE";"";"SSV";"P";FALSE;"";15.439167;49.159167;"Vysocina";"Vysocina/B2KMYS01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B2KNIN01";369;"KnÌnice u Boskovic";"KnÌnice u Boskovic";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";16.692288;49.537004;"Jihomoravsky";"Jihomoravsky/B2KNIN01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
