"Stanice.ID","JmÈno.stanice","ZaË·tek.mÏ¯enÌ","Konec.mÏ¯enÌ","ZemÏpisn·.dÈlka","ZemÏpisn·.öÌ¯ka","Nadmo¯sk·.v˝öka","element"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"SNO_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"SNO_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"SNO_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"SRA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"SRA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"SRA_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"SRA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"T_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"T_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"T_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"T_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"TMA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"TMA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"TMA_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"TMA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"TMI_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"TMI_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"TMI_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"TMI_N"
"B1BRKY01","B¯ez˘vky",1961-01-01,1972-06-30,17.7,49.15,342,"SCE_N"
"B1BRKY01","B¯ez˘vky",1972-11-01,1980-06-30,17.7,49.15,371,"SCE_N"
"B1BRKY01","B¯ez˘vky",1961-01-01,1972-06-30,17.7,49.15,342,"SNO_N"
"B1BRKY01","B¯ez˘vky",1972-11-01,1980-06-30,17.7,49.15,371,"SNO_N"
"B1BRKY01","B¯ez˘vky",1961-01-01,1972-06-30,17.7,49.15,342,"SRA_N"
"B1BRKY01","B¯ez˘vky",1972-11-01,1980-06-30,17.7,49.15,371,"SRA_N"
"B1BRPY01","B¯ezolupy",1961-01-01,1983-05-31,17.6069,49.1414,225,"SCE_N"
"B1BRPY01","B¯ezolupy",1983-06-01,1993-03-31,17.5917,49.1319,213,"SCE_N"
"B1BRPY01","B¯ezolupy",1993-06-01,1993-10-31,17.5719,49.1192,205,"SCE_N"
"B1BRPY01","B¯ezolupy",1961-01-01,1983-05-31,17.6069,49.1414,225,"SNO_N"
"B1BRPY01","B¯ezolupy",1983-06-01,1993-03-31,17.5917,49.1319,213,"SNO_N"
"B1BRPY01","B¯ezolupy",1993-06-01,1993-10-31,17.5719,49.1192,205,"SNO_N"
"B1BRPY01","B¯ezolupy",1961-01-01,1983-05-31,17.6069,49.1414,225,"SRA_N"
"B1BRPY01","B¯ezolupy",1983-06-01,1993-03-31,17.5917,49.1319,213,"SRA_N"
"B1BRPY01","B¯ezolupy",1993-06-01,1993-10-31,17.5719,49.1192,205,"SRA_N"
"B1BUDE01","BudÏtsko",1970-08-27,1980-09-30,16.9261,49.5861,442,"F_N"
"B1BUDE01","BudÏtsko",1970-08-27,1980-09-30,16.9261,49.5861,442,"H_N"
"B1BUDE01","BudÏtsko",1970-08-27,1980-09-30,16.9261,49.5861,442,"SCE_N"
"B1BUDE01","BudÏtsko",1970-08-27,1980-09-30,16.9261,49.5861,442,"SNO_N"
"B1BUDE01","BudÏtsko",1970-08-27,1980-09-30,16.9261,49.5861,442,"SRA_N"
"B1BUDE01","BudÏtsko",1970-08-27,1980-09-30,16.9261,49.5861,442,"T_N"
"B1BUDE01","BudÏtsko",1970-08-27,1980-09-30,16.9261,49.5861,442,"TMA_N"
"B1BUDE01","BudÏtsko",1970-08-27,1980-09-30,16.9261,49.5861,442,"TMI_N"
"B1BUCH01","Buchlovice",1961-01-01,1989-05-31,17.3456,49.0875,268,"SCE_N"
"B1BUCH01","Buchlovice",1989-08-01,1993-06-30,17.3386,49.0853,250,"SCE_N"
"B1BUCH01","Buchlovice",1993-09-01,2006-07-31,17.3317,49.0875,280,"SCE_N"
"B1BUCH01","Buchlovice",2006-10-01,2017-12-31,17.3392,49.0875,255,"SCE_N"
"B1BUCH01","Buchlovice",2018-01-01,2020-12-31,17.335389,49.089008,257,"SCE_N"
"B1BUCH01","Buchlovice",1961-01-01,1989-05-31,17.3456,49.0875,268,"SNO_N"
"B1BUCH01","Buchlovice",1989-08-01,1993-06-30,17.3386,49.0853,250,"SNO_N"
"B1BUCH01","Buchlovice",1993-09-01,2006-07-31,17.3317,49.0875,280,"SNO_N"
"B1BUCH01","Buchlovice",2006-10-01,2017-12-31,17.3392,49.0875,255,"SNO_N"
"B1BUCH01","Buchlovice",2018-01-01,2020-12-31,17.335389,49.089008,257,"SNO_N"
"B1BUCH01","Buchlovice",1961-01-01,1989-05-31,17.3456,49.0875,268,"SRA_N"
"B1BUCH01","Buchlovice",1989-08-01,1993-06-30,17.3386,49.0853,250,"SRA_N"
"B1BUCH01","Buchlovice",1993-09-01,2006-07-31,17.3317,49.0875,280,"SRA_N"
"B1BUCH01","Buchlovice",2006-10-01,2017-12-31,17.3392,49.0875,255,"SRA_N"
